initial: all - diverse_all
[2022-04-08 06:52:56.289471]Total energy: 16860872.119333148
[2022-04-08 06:54:20.342588]Total energy: 16816791.81080326
[2022-04-08 06:55:46.463977]Total energy: 16854779.090509754
[2022-04-08 06:57:06.623577]Total energy: 16846760.0356327
[2022-04-08 06:58:24.528908]Total energy: 16830244.867736574
[2022-04-08 06:59:41.661236]Total energy: 16820308.351479463
[2022-04-08 07:01:08.628281]Total energy: 16871265.009277105
[2022-04-08 07:02:39.282092]Total energy: 16852999.52189796
[2022-04-08 07:04:00.823740]Total energy: 16849636.253491145
[2022-04-08 07:05:30.356487]Total energy: 16821410.560152765
[2022-04-08 07:06:48.780839]Total energy: 16834059.038529646
[2022-04-08 07:08:06.950769]Total energy: 16837556.82299811
[2022-04-08 07:09:25.185690]Total energy: 16824093.27543729
[2022-04-08 07:10:54.461730]Total energy: 16824657.243962284
[2022-04-08 07:12:15.238696]Total energy: 16851124.291630097
[2022-04-08 07:13:33.450137]Total energy: 16848743.745882377
[2022-04-08 07:14:51.218477]Total energy: 16864799.144528497
[2022-04-08 07:16:11.049831]Total energy: 16849921.639399067
[2022-04-08 07:17:29.373449]Total energy: 16868766.359565243
[2022-04-08 07:18:46.331601]Total energy: 16830846.245705266
[2022-04-08 07:20:03.471013]Total energy: 16881643.263720952
[2022-04-08 07:21:29.591424]Total energy: 16828952.31816227
[2022-04-08 07:22:49.771044]Total energy: 16860159.277373753
[2022-04-08 07:24:08.483941]Total energy: 16850913.100045517
[2022-04-08 07:25:28.920797]Total energy: 16838225.70270448
[2022-04-08 07:26:48.010786]Total energy: 16819132.448447596
[2022-04-08 07:28:06.118451]Total energy: 16840276.243007515
[2022-04-08 07:29:24.927484]Total energy: 16813372.64918553
[2022-04-08 07:30:51.714929]Total energy: 16885552.560754444
[2022-04-08 07:32:21.987985]Total energy: 16857164.175383728
[2022-04-08 07:33:43.373273]Total energy: 16831374.597305834
[2022-04-08 07:35:01.899184]Total energy: 16801990.294720672
[2022-04-08 07:36:19.219865]Total energy: 16829087.55729949
[2022-04-08 07:37:37.272837]Total energy: 16842843.634279605
[2022-04-08 07:38:54.875328]Total energy: 16808112.72113682
[2022-04-08 07:40:14.088044]Total energy: 16792791.3867061
[2022-04-08 07:41:43.240739]Total energy: 16836563.387188587
[2022-04-08 07:43:04.282329]Total energy: 16832656.838923667
[2022-04-08 07:44:22.931280]Total energy: 16832876.505969085
[2022-04-08 07:45:41.107935]Total energy: 16815281.538877312
[2022-04-08 07:46:59.728060]Total energy: 16842104.09558977
[2022-04-08 07:48:18.040601]Total energy: 16820159.044201642
